Deployment,datetime,C_DPM,C_DPH,Match,F_DPM,F_DPH,Filter 
5,12/01/2022 14:59,3,1,0,0,0,HM
5,12/01/2022 15:59,11,1,1,6,1,HM
5,12/01/2022 16:59,39,1,1,16,1,HM
5,12/01/2022 17:59,50,1,1,58,1,HM
5,12/01/2022 18:59,40,1,1,58,1,HM
5,12/01/2022 19:59,39,1,1,57,1,HM
5,12/01/2022 20:59,23,1,1,49,1,HM
5,12/01/2022 21:59,8,1,1,43,1,HM
5,12/01/2022 22:59,1,1,1,28,1,HM
5,12/01/2022 23:59,0,0,0,3,1,HM
5,13/01/2022 00:59,1,1,0,0,0,HM
5,13/01/2022 01:59,2,1,1,1,1,HM
5,13/01/2022 02:59,1,1,1,4,1,HM
5,13/01/2022 03:59,0,0,0,1,1,HM
5,13/01/2022 04:59,0,0,1,0,0,HM
5,13/01/2022 05:59,0,0,0,1,1,HM
5,13/01/2022 06:59,1,1,0,0,0,HM
5,13/01/2022 07:59,0,0,0,1,1,HM
5,13/01/2022 08:59,0,0,0,1,1,HM
5,13/01/2022 09:59,11,1,0,0,0,HM
5,13/01/2022 10:59,2,1,1,21,1,HM
5,13/01/2022 11:59,0,0,0,13,1,HM
5,13/01/2022 12:59,2,1,1,1,1,HM
5,13/01/2022 13:59,2,1,1,2,1,HM
5,13/01/2022 14:59,1,1,1,1,1,HM
5,13/01/2022 15:59,2,1,1,1,1,HM
5,13/01/2022 16:59,19,1,1,2,1,HM
5,13/01/2022 17:59,58,1,1,29,1,HM
5,13/01/2022 18:59,7,1,1,60,1,HM
5,13/01/2022 19:59,0,0,0,5,1,HM
5,13/01/2022 20:59,0,0,1,0,0,HM
5,13/01/2022 21:59,0,0,1,0,0,HM
5,13/01/2022 22:59,1,1,0,0,0,HM
5,13/01/2022 23:59,13,1,1,5,1,HM
5,14/01/2022 00:59,0,0,0,21,1,HM
5,14/01/2022 01:59,0,0,1,0,0,HM
5,14/01/2022 02:59,2,1,0,0,0,HM
5,14/01/2022 03:59,0,0,1,0,0,HM
5,14/01/2022 04:59,0,0,1,0,0,HM
5,14/01/2022 05:59,0,0,1,0,0,HM
5,14/01/2022 06:59,4,1,0,0,0,HM
5,14/01/2022 07:59,2,1,1,1,1,HM
5,14/01/2022 08:59,1,1,1,2,1,HM
5,14/01/2022 09:59,5,1,1,3,1,HM
5,14/01/2022 10:59,14,1,1,8,1,HM
5,14/01/2022 11:59,24,1,1,23,1,HM
5,14/01/2022 12:59,0,0,0,45,1,HM
5,14/01/2022 13:59,8,1,0,0,0,HM
5,14/01/2022 14:59,1,1,1,12,1,HM
5,14/01/2022 15:59,5,1,1,1,1,HM
5,14/01/2022 16:59,0,0,0,11,1,HM
5,14/01/2022 17:59,0,0,1,0,0,HM
5,14/01/2022 18:59,0,0,0,1,1,HM
5,14/01/2022 19:59,0,0,1,0,0,HM
5,14/01/2022 20:59,0,0,1,0,0,HM
5,14/01/2022 21:59,4,1,0,0,0,HM
5,14/01/2022 22:59,0,0,0,6,1,HM
5,14/01/2022 23:59,0,0,1,0,0,HM
5,15/01/2022 00:59,4,1,0,0,0,HM
5,15/01/2022 01:59,3,1,1,12,1,HM
5,15/01/2022 02:59,0,0,0,5,1,HM
5,15/01/2022 03:59,0,0,1,0,0,HM
5,15/01/2022 04:59,0,0,1,0,0,HM
5,15/01/2022 05:59,0,0,1,0,0,HM
5,15/01/2022 06:59,3,1,0,0,0,HM
5,15/01/2022 07:59,1,1,0,0,0,HM
5,15/01/2022 08:59,1,1,0,0,0,HM
5,15/01/2022 09:59,14,1,0,0,0,HM
5,15/01/2022 10:59,4,1,1,14,1,HM
5,15/01/2022 11:59,0,0,0,7,1,HM
5,15/01/2022 12:59,0,0,0,5,1,HM
5,15/01/2022 13:59,0,0,1,0,0,HM
5,15/01/2022 14:59,0,0,1,0,0,HM
5,15/01/2022 15:59,0,0,1,0,0,HM
5,15/01/2022 16:59,0,0,1,0,0,HM
5,15/01/2022 17:59,0,0,1,0,0,HM
5,15/01/2022 18:59,0,0,1,0,0,HM
5,15/01/2022 19:59,0,0,1,0,0,HM
5,15/01/2022 20:59,0,0,1,0,0,HM
5,15/01/2022 21:59,0,0,1,0,0,HM
5,15/01/2022 22:59,0,0,1,0,0,HM
5,15/01/2022 23:59,0,0,1,0,0,HM
5,16/01/2022 00:59,0,0,1,0,0,HM
5,16/01/2022 01:59,0,0,1,0,0,HM
5,16/01/2022 02:59,6,1,0,0,0,HM
5,16/01/2022 03:59,0,0,0,4,1,HM
5,16/01/2022 04:59,0,0,1,0,0,HM
5,16/01/2022 05:59,1,1,0,0,0,HM
5,16/01/2022 06:59,3,1,1,3,1,HM
5,16/01/2022 07:59,1,1,1,5,1,HM
5,16/01/2022 08:59,0,0,0,2,1,HM
5,16/01/2022 09:59,0,0,1,0,0,HM
5,16/01/2022 10:59,1,1,0,0,0,HM
5,16/01/2022 11:59,0,0,0,7,1,HM
5,16/01/2022 12:59,4,1,0,0,0,HM
5,16/01/2022 13:59,0,0,0,9,1,HM
5,16/01/2022 14:59,0,0,1,0,0,HM
5,16/01/2022 15:59,0,0,1,0,0,HM
5,16/01/2022 16:59,0,0,1,0,0,HM
5,16/01/2022 17:59,0,0,1,0,0,HM
5,16/01/2022 18:59,0,0,1,0,0,HM
5,16/01/2022 19:59,0,0,1,0,0,HM
5,16/01/2022 20:59,0,0,1,0,0,HM
5,16/01/2022 21:59,0,0,1,0,0,HM
5,16/01/2022 22:59,0,0,1,0,0,HM
5,16/01/2022 23:59,0,0,1,0,0,HM
5,17/01/2022 00:59,0,0,1,0,0,HM
5,17/01/2022 01:59,0,0,1,0,0,HM
5,17/01/2022 02:59,0,0,1,0,0,HM
5,17/01/2022 03:59,0,0,1,0,0,HM
5,17/01/2022 04:59,0,0,1,0,0,HM
5,17/01/2022 05:59,0,0,1,0,0,HM
5,17/01/2022 06:59,0,0,1,0,0,HM
5,17/01/2022 07:59,1,1,0,0,0,HM
5,17/01/2022 08:59,1,1,1,1,1,HM
5,17/01/2022 09:59,0,0,0,1,1,HM
5,17/01/2022 10:59,3,1,0,0,0,HM
