Deployment,datetime,day,month,year,DPH,DPD,POD
4,09/09/2021,9,9,2021,6,1,C
4,10/09/2021,10,9,2021,0,0,C
4,11/09/2021,11,9,2021,7,1,C
4,12/09/2021,12,9,2021,3,1,C
4,13/09/2021,13,9,2021,7,1,C
4,14/09/2021,14,9,2021,10,1,C
4,15/09/2021,15,9,2021,4,1,C
4,16/09/2021,16,9,2021,5,1,C
4,17/09/2021,17,9,2021,3,1,C
4,18/09/2021,18,9,2021,8,1,C
4,19/09/2021,19,9,2021,13,1,C
4,20/09/2021,20,9,2021,14,1,C
4,21/09/2021,21,9,2021,13,1,C
4,22/09/2021,22,9,2021,5,1,C
4,23/09/2021,23,9,2021,1,1,C
4,24/09/2021,24,9,2021,7,1,C
4,25/09/2021,25,9,2021,5,1,C
4,26/09/2021,26,9,2021,4,1,C
4,27/09/2021,27,9,2021,7,1,C
4,28/09/2021,28,9,2021,5,1,C
4,29/09/2021,29,9,2021,5,1,C
4,30/09/2021,30,9,2021,7,1,C
4,01/10/2021,1,10,2021,4,1,C
4,02/10/2021,2,10,2021,3,1,C
4,03/10/2021,3,10,2021,4,1,C
4,04/10/2021,4,10,2021,9,1,C
4,05/10/2021,5,10,2021,5,1,C
4,06/10/2021,6,10,2021,2,1,C
4,07/10/2021,7,10,2021,5,1,C
4,08/10/2021,8,10,2021,7,1,C
4,09/10/2021,9,10,2021,9,1,C
4,10/10/2021,10,10,2021,8,1,C
4,11/10/2021,11,10,2021,9,1,C
4,12/10/2021,12,10,2021,10,1,C
4,13/10/2021,13,10,2021,6,1,C
4,14/10/2021,14,10,2021,10,1,C
4,15/10/2021,15,10,2021,4,1,C
4,16/10/2021,16,10,2021,0,0,C
4,17/10/2021,17,10,2021,3,1,C
4,18/10/2021,18,10,2021,8,1,C
4,19/10/2021,19,10,2021,13,1,C
4,20/10/2021,20,10,2021,19,1,C
4,21/10/2021,21,10,2021,7,1,C
4,22/10/2021,22,10,2021,7,1,C
4,23/10/2021,23,10,2021,0,0,C
4,24/10/2021,24,10,2021,11,1,C
4,25/10/2021,25,10,2021,5,1,C
4,26/10/2021,26,10,2021,7,1,C
4,27/10/2021,27,10,2021,3,1,C
4,28/10/2021,28,10,2021,10,1,C
4,29/10/2021,29,10,2021,6,1,C
4,30/10/2021,30,10,2021,8,1,C
4,31/10/2021,31,10,2021,5,1,C
4,01/11/2021,1,11,2021,15,1,C
4,02/11/2021,2,11,2021,10,1,C
4,03/11/2021,3,11,2021,11,1,C
4,04/11/2021,4,11,2021,15,1,C
4,05/11/2021,5,11,2021,10,1,C
4,06/11/2021,6,11,2021,12,1,C
4,07/11/2021,7,11,2021,12,1,C
4,08/11/2021,8,11,2021,16,1,C
4,09/11/2021,9,11,2021,8,1,C
5,10/11/2021,10,11,2021,12,1,C
5,11/11/2021,11,11,2021,11,1,C
5,12/11/2021,12,11,2021,5,1,C
5,13/11/2021,13,11,2021,8,1,C
5,14/11/2021,14,11,2021,9,1,C
5,15/11/2021,15,11,2021,12,1,C
5,16/11/2021,16,11,2021,1,1,C
5,17/11/2021,17,11,2021,2,1,C
5,18/11/2021,18,11,2021,2,1,C
5,19/11/2021,19,11,2021,7,1,C
5,20/11/2021,20,11,2021,2,1,C
5,21/11/2021,21,11,2021,6,1,C
5,22/11/2021,22,11,2021,4,1,C
5,23/11/2021,23,11,2021,4,1,C
5,24/11/2021,24,11,2021,6,1,C
5,25/11/2021,25,11,2021,3,1,C
5,26/11/2021,26,11,2021,0,0,C
5,27/11/2021,27,11,2021,3,1,C
5,28/11/2021,28,11,2021,11,1,C
5,29/11/2021,29,11,2021,9,1,C
5,30/11/2021,30,11,2021,11,1,C
5,01/12/2021,1,12,2021,1,1,C
5,02/12/2021,2,12,2021,5,1,C
5,03/12/2021,3,12,2021,5,1,C
5,04/12/2021,4,12,2021,3,1,C
5,05/12/2021,5,12,2021,1,1,C
5,06/12/2021,6,12,2021,4,1,C
5,07/12/2021,7,12,2021,5,1,C
5,08/12/2021,8,12,2021,6,1,C
5,09/12/2021,9,12,2021,3,1,C
5,10/12/2021,10,12,2021,3,1,C
5,11/12/2021,11,12,2021,2,1,C
5,12/12/2021,12,12,2021,4,1,C
5,13/12/2021,13,12,2021,5,1,C
5,14/12/2021,14,12,2021,5,1,C
5,15/12/2021,15,12,2021,8,1,C
5,16/12/2021,16,12,2021,11,1,C
5,17/12/2021,17,12,2021,11,1,C
5,18/12/2021,18,12,2021,11,1,C
5,19/12/2021,19,12,2021,8,1,C
5,20/12/2021,20,12,2021,14,1,C
5,21/12/2021,21,12,2021,13,1,C
5,22/12/2021,22,12,2021,6,1,C
5,23/12/2021,23,12,2021,0,0,C
5,24/12/2021,24,12,2021,2,1,C
5,25/12/2021,25,12,2021,11,1,C
5,26/12/2021,26,12,2021,13,1,C
5,27/12/2021,27,12,2021,10,1,C
5,28/12/2021,28,12,2021,5,1,C
5,29/12/2021,29,12,2021,5,1,C
5,30/12/2021,30,12,2021,0,0,C
5,31/12/2021,31,12,2021,2,1,C
5,01/01/2022,1,1,2022,1,1,C
5,02/01/2022,2,1,2022,5,1,C
5,03/01/2022,3,1,2022,1,1,C
5,04/01/2022,4,1,2022,11,1,C
5,05/01/2022,5,1,2022,10,1,C
5,06/01/2022,6,1,2022,5,1,C
5,07/01/2022,7,1,2022,0,0,C
5,08/01/2022,8,1,2022,0,0,C
5,09/01/2022,9,1,2022,0,0,C
5,10/01/2022,10,1,2022,2,1,C
5,11/01/2022,11,1,2022,14,1,C
5,12/01/2022,12,1,2022,16,1,C
5,13/01/2022,13,1,2022,15,1,C
5,14/01/2022,14,1,2022,11,1,C
5,15/01/2022,15,1,2022,7,1,C
5,16/01/2022,16,1,2022,6,1,C
5,17/01/2022,17,1,2022,8,1,C
5,18/01/2022,18,1,2022,12,1,C
5,19/01/2022,19,1,2022,8,1,C
5,20/01/2022,20,1,2022,11,1,C
5,21/01/2022,21,1,2022,14,1,C
5,22/01/2022,22,1,2022,16,1,C
5,23/01/2022,23,1,2022,6,1,C
5,24/01/2022,24,1,2022,10,1,C
5,25/01/2022,25,1,2022,6,1,C
5,26/01/2022,26,1,2022,4,1,C
5,27/01/2022,27,1,2022,2,1,C
5,28/01/2022,28,1,2022,3,1,C
5,29/01/2022,29,1,2022,6,1,C
5,30/01/2022,30,1,2022,4,1,C
5,31/01/2022,31,1,2022,2,1,C
5,01/02/2022,1,2,2022,4,1,C
5,02/02/2022,2,2,2022,11,1,C
5,03/02/2022,3,2,2022,3,1,C
5,04/02/2022,4,2,2022,5,1,C
5,05/02/2022,5,2,2022,8,1,C
5,06/02/2022,6,2,2022,7,1,C
5,07/02/2022,7,2,2022,6,1,C
5,08/02/2022,8,2,2022,8,1,C
5,09/02/2022,9,2,2022,4,1,C
5,10/02/2022,10,2,2022,4,1,C
5,11/02/2022,11,2,2022,4,1,C
5,12/02/2022,12,2,2022,8,1,C
5,13/02/2022,13,2,2022,5,1,C
5,14/02/2022,14,2,2022,6,1,C
5,15/02/2022,15,2,2022,7,1,C
5,16/02/2022,16,2,2022,2,1,C
5,17/02/2022,17,2,2022,5,1,C
5,18/02/2022,18,2,2022,0,0,C
5,19/02/2022,19,2,2022,2,1,C
5,20/02/2022,20,2,2022,2,1,C
5,21/02/2022,21,2,2022,0,0,C
5,22/02/2022,22,2,2022,5,1,C
5,23/02/2022,23,2,2022,5,1,C
5,24/02/2022,24,2,2022,0,0,C
5,25/02/2022,25,2,2022,6,1,C
5,26/02/2022,26,2,2022,5,1,C
5,27/02/2022,27,2,2022,2,1,C
5,28/02/2022,28,2,2022,5,1,C
5,01/03/2022,1,3,2022,6,1,C
5,02/03/2022,2,3,2022,3,1,C
5,03/03/2022,3,3,2022,8,1,C
5,04/03/2022,4,3,2022,9,1,C
5,05/03/2022,5,3,2022,6,1,C
5,06/03/2022,6,3,2022,6,1,C
5,07/03/2022,7,3,2022,7,1,C
5,08/03/2022,8,3,2022,4,1,C
5,09/03/2022,9,3,2022,3,1,C
5,10/03/2022,10,3,2022,5,1,C
5,11/03/2022,11,3,2022,6,1,C
5,12/03/2022,12,3,2022,9,1,C
5,13/03/2022,13,3,2022,5,1,C
5,14/03/2022,14,3,2022,11,1,C
5,15/03/2022,15,3,2022,9,1,C
